charlie_analysis,interrupt,1127
charlie_analysis,direct_jump,5609726
charlie_analysis,branch_type,1
charlie_analysis,direct_call,8370288
charlie_analysis,indirect_jump,1275881
charlie_analysis,context_switch,1097
charlie_analysis,conditional_jump,130480528
charlie_analysis,indirect_call,997418
charlie_analysis,return,9368289
merced_analysis,interrupt,1727
merced_analysis,conditional_jump,92093015
merced_analysis,branch_type,1
merced_analysis,return,4462301
merced_analysis,indirect_jump,1174838
merced_analysis,direct_jump,3790370
merced_analysis,context_switch,1567
merced_analysis,indirect_call,588157
merced_analysis,direct_call,3873518
whiskey_analysis,direct_jump,1602718
whiskey_analysis,branch_type,1
whiskey_analysis,direct_call,1033227
whiskey_analysis,interrupt,365
whiskey_analysis,return,1325566
whiskey_analysis,indirect_jump,164203
whiskey_analysis,conditional_jump,37892375
whiskey_analysis,indirect_call,292019
whiskey_analysis,context_switch,362
delta_analysis,direct_jump,1585225
delta_analysis,branch_type,1
delta_analysis,direct_call,2088658
delta_analysis,interrupt,752
delta_analysis,return,2263552
delta_analysis,indirect_jump,454918
delta_analysis,conditional_jump,39989307
delta_analysis,indirect_call,174311
delta_analysis,context_switch,749
